lambda,f1,f2,predicate,risk_1,risk_2,smape
1,0.0,0.0,VER,0.16673842385258536,0.08601609657947686,0.0
1,0.0,0.0,ER,0.15656620222683154,0.08098591549295775,0.0
1,0.0,0.0,R,0.09411737298135261,0.041750503018108655,0.0
1,36.95932885077902,37.036279462859355,VER,0.16221123693654288,0.08136317907444668,0.004647842366251037
1,36.95932885077902,37.036279462859355,ER,0.1558116664607485,0.08023138832997988,0.0012996101050158052
1,36.95932885077902,37.036279462859355,R,0.09311131985339828,0.04074446680080483,0.001768217099014747
1,73.37996992561136,74.07255892571871,VER,0.15755714681021213,0.0767102615694165,0.009248921432633127
1,73.37996992561136,74.07255892571871,ER,0.15417576316861029,0.07872233400402415,0.003894932097454738
1,73.37996992561136,74.07255892571871,R,0.09160214925956166,0.039235412474849095,0.0035308327608983563
1,109.58869612853815,111.10883838857805,VER,0.15302833695903517,0.0721830985915493,0.013841971967809567
1,109.58869612853815,111.10883838857805,ER,0.14864123838496252,0.07318913480885311,0.009894924199315995
1,109.58869612853815,111.10883838857805,R,0.08506172642783466,0.032696177062374245,0.011190659790779968
1,145.61387079693867,148.14511785143742,VER,0.14849851443535148,0.06765593561368209,0.01842709211637125
1,145.61387079693867,148.14511785143742,ER,0.14587137254915394,0.07067404426559357,0.014061578707340441
1,145.61387079693867,148.14511785143742,R,0.08279687520637195,0.0306841046277666,0.014336563124430234
1,181.46959543223738,185.18139731429676,VER,0.14396847678742075,0.06312877263581489,0.02299242386232335
1,181.46959543223738,185.18139731429676,ER,0.14272463279253284,0.068158953722334,0.018124826197810907
1,181.46959543223738,185.18139731429676,R,0.08229226334110323,0.030181086519114688,0.014941116735095709
1,217.01112252598895,222.2176767771561,VER,0.13943636080004224,0.05860160965794769,0.027553614934037997
1,217.01112252598895,222.2176767771561,ER,0.13806551354484825,0.06338028169014084,0.02372605264022483
1,217.01112252598895,222.2176767771561,R,0.08002170836709149,0.02766599597585513,0.0194748542732584
1,252.37970105466317,259.2539562400155,VER,0.1350291376574561,0.05420020120724346,0.03206095109364181
1,252.37970105466317,259.2539562400155,ER,0.13353422340550689,0.05885311871227364,0.028956058522769473
1,252.37970105466317,259.2539562400155,R,0.07373032011985083,0.02112676056338028,0.026434568236613273
1,287.65730734050067,296.29023570287484,VER,0.13062193878872524,0.049798792756539235,0.03657011195014895
1,287.65730734050067,296.29023570287484,ER,0.12560831090281807,0.05181086519114688,0.037071906267001624
1,287.65730734050067,296.29023570287484,R,0.06014455077131596,0.008551307847082495,0.04049105535941878
1,322.5147636193099,333.3265151657341,VER,0.12621179399050392,0.04539738430583501,0.04104473771418826
1,322.5147636193099,333.3265151657341,ER,0.12333351634039572,0.04954728370221328,0.040229018900599274
1,322.5147636193099,333.3265151657341,R,0.05887631481007387,0.007042253521126761,0.04291331292787314
1,356.9829168949393,370.3627946285935,VER,0.12192719396589752,0.04112173038229376,0.045488682278993366
1,356.9829168949393,370.3627946285935,ER,0.11841671630160579,0.044517102615694165,0.04611693024101353
1,356.9829168949393,370.3627946285935,R,0.05811635249328618,0.006036217303822937,0.04451490641485917
1,391.1702517837328,407.3990740914529,VER,0.11751420170605681,0.036720321931589535,0.04988104569082179
1,391.1702517837328,407.3990740914529,ER,0.11387409028929417,0.040492957746478875,0.05155447868287842
1,391.1702517837328,407.3990740914529,R,0.059868247240736305,0.008551307847082495,0.044383688159622736
1,425.2133023564759,444.4353535543122,VER,0.1132271672209886,0.03244466800804829,0.054257834996097355
1,425.2133023564759,444.4353535543122,ER,0.11147349532798127,0.03848088531187123,0.054892790940454635
1,425.2133023564759,444.4353535543122,R,0.054062586927508496,0.0030181086519114686,0.05136626005176821
1,458.8891489561294,481.47163301717154,VER,0.10905926762502845,0.02829476861167002,0.05861716620125438
1,458.8891489561294,481.47163301717154,ER,0.10453716408297453,0.03194164989939638,0.06268264221294156
1,458.8891489561294,481.47163301717154,R,0.052033882820323174,0.0015090543259557343,0.054574246795729336
1,492.3329089831417,518.507912480031,VER,0.10476863533380174,0.024019114688128774,0.06292207389877717
1,492.3329089831417,518.507912480031,ER,0.09834598636415744,0.026156941649899398,0.06943455526724208
1,492.3329089831417,518.507912480031,R,0.052028866920774325,0.0015090543259557343,0.05530424826088264
1,525.6501925643227,555.5441919428903,VER,0.10060280270786104,0.0198692152917505,0.06722010500043447
1,525.6501925643227,555.5441919428903,ER,0.09266361427984642,0.020875251509054327,0.07597666922291427
1,525.6501925643227,555.5441919428903,R,0.05202529989440619,0.001006036217303823,0.05572918822326159
1,558.6123564250728,592.5804714057497,VER,0.09642737485971535,0.015719315895372232,0.07151022319141581
1,558.6123564250728,592.5804714057497,ER,0.08973877764049043,0.017857142857142856,0.0798028359894149
1,558.6123564250728,592.5804714057497,R,0.05175554245138383,0.001006036217303823,0.05728857518852812
1,591.3408104253583,629.616750868609,VER,0.09225538981541571,0.011569416498993963,0.07576489854826163
1,591.3408104253583,629.616750868609,ER,0.08468744815045277,0.014084507042253521,0.08565577624335265
1,591.3408104253583,629.616750868609,R,0.051746390928129715,0.001006036217303823,0.057781453301589646
1,623.7184232973476,666.6530303314682,VER,0.08820467374252225,0.007545271629778672,0.079964497647049
1,623.7184232973476,666.6530303314682,ER,0.08125517360986056,0.011066398390342052,0.09012294805859343
1,623.7184232973476,666.6530303314682,R,0.05147975161893038,0.001006036217303823,0.05889419383959082
1,654.9709764297133,703.6893097943278,VER,0.08426855561142868,0.003646881287726358,0.08406051317087229
1,654.9709764297133,703.6893097943278,ER,0.0751586933308969,0.005533199195171026,0.09696083084219259
1,654.9709764297133,703.6893097943278,R,0.051473067958767924,0.001006036217303823,0.059232250904524
1,684.0,740.725589257187,VER,0.08043561367312076,0.0,0.08790163063480712
1,684.0,740.725589257187,ER,0.06880255789408556,0.0,0.10365115040854735
1,684.0,740.725589257187,R,0.04871826532479083,0.0,0.06328232612741974
2,0.0,0.0,VER,0.16673842385258536,0.08601609657947686,0.0
2,0.0,0.0,ER,0.15656620222683154,0.08098591549295775,0.0
2,0.0,0.0,R,0.09411737298135261,0.041750503018108655,0.0
2,65.15871233507018,65.66860672205435,VER,0.15856437958699182,0.07771629778672032,0.008215141785584478
2,65.15871233507018,65.66860672205435,ER,0.154427744874168,0.0789738430583501,0.0032392154378085595
