start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
11,39049000710,+40.0192278,-082.9890673,265,39049009600,+39.8889368,-083.1000182,2.0
13,39049000730,+40.0050776,-082.9736696,278,39049010400,+40.1246594,-083.1607484,2.0
18,39049001000,+40.0096828,-083.0031623,265,39049009600,+39.8889368,-083.1000182,2.0
19,39049001110,+40.0091635,-083.0142462,150,39049007395,+39.9905848,-082.8081891,2.0
19,39049001110,+40.0091635,-083.0142462,166,39049007551,+40.0258470,-082.9209676,2.0
20,39049001121,+39.9998914,-083.0128050,79,39049006230,+40.0793948,-083.1737874,2.0
22,39049001200,+40.0038089,-083.0017603,166,39049007551,+40.0258470,-082.9209676,2.0
22,39049001200,+40.0038089,-083.0017603,168,39049007721,+40.0550543,-082.9665635,2.0
23,39049001300,+39.9983165,-083.0011748,59,39049004700,+39.9501843,-083.0636491,2.0
23,39049001300,+39.9983165,-083.0011748,79,39049006230,+40.0793948,-083.1737874,2.0
24,39049001400,+39.9952118,-082.9871075,38,39049002600,+39.9883334,-082.9252448,2.0
24,39049001400,+39.9952118,-082.9871075,193,39049008163,+39.9404250,-083.1362465,2.0
29,39049001820,+39.9879140,-083.0142071,59,39049004700,+39.9501843,-083.0636491,2.0
31,39049001902,+39.9891497,-083.0475533,166,39049007551,+40.0258470,-082.9209676,2.0
34,39049002200,+39.9826700,-082.9996446,278,39049010400,+40.1246594,-083.1607484,2.0
35,39049002300,+39.9814177,-082.9723053,115,39049006931,+40.0817154,-082.9672126,2.0
35,39049002300,+39.9814177,-082.9723053,193,39049008163,+39.9404250,-083.1362465,2.0
36,39049002510,+39.9904547,-082.9524993,192,39049008162,+39.9193520,-083.1964122,2.0
37,39049002520,+39.9752413,-082.9524679,79,39049006230,+40.0793948,-083.1737874,2.0
39,39049002710,+39.9799914,-082.9192524,278,39049010400,+40.1246594,-083.1607484,2.0
41,39049002740,+39.9691558,-082.9184186,115,39049006931,+40.0817154,-082.9672126,2.0
44,39049002770,+39.9516772,-082.9101679,79,39049006230,+40.0793948,-083.1737874,2.0
44,39049002770,+39.9516772,-082.9101679,192,39049008162,+39.9193520,-083.1964122,2.0
46,39049002800,+39.9730449,-082.9648487,192,39049008162,+39.9193520,-083.1964122,2.0
48,39049003000,+39.9710932,-082.9937788,79,39049006230,+40.0793948,-083.1737874,2.0
49,39049003200,+39.9714198,-083.0133641,59,39049004700,+39.9501843,-083.0636491,2.0
49,39049003200,+39.9714198,-083.0133641,166,39049007551,+40.0258470,-082.9209676,2.0
50,39049003600,+39.9685662,-082.9752006,121,39049006945,+40.0925469,-082.9580378,2.0
50,39049003600,+39.9685662,-082.9752006,193,39049008163,+39.9404250,-083.1362465,2.0
51,39049003700,+39.9627013,-082.9535872,193,39049008163,+39.9404250,-083.1362465,2.0
51,39049003700,+39.9627013,-082.9535872,278,39049010400,+40.1246594,-083.1607484,2.0
52,39049003800,+39.9628511,-082.9736398,168,39049007721,+40.0550543,-082.9665635,2.0
59,39049004700,+39.9501843,-083.0636491,200,39049008312,+39.9352608,-083.0949072,2.0
60,39049004810,+39.9402282,-083.0742032,121,39049006945,+40.0925469,-082.9580378,2.0
63,39049005000,+39.9539794,-083.0297042,115,39049006931,+40.0817154,-082.9672126,2.0
64,39049005100,+39.9427460,-083.0214223,193,39049008163,+39.9404250,-083.1362465,2.0
64,39049005100,+39.9427460,-083.0214223,265,39049009600,+39.8889368,-083.1000182,2.0
65,39049005200,+39.9504115,-082.9926051,276,39049010200,+39.8881595,-082.8310039,2.0
67,39049005410,+39.9555588,-082.9538281,174,39049007820,+40.0219457,-083.0264862,2.0
67,39049005410,+39.9555588,-082.9538281,192,39049008162,+39.9193520,-083.1964122,2.0
69,39049005500,+39.9460765,-082.9603156,79,39049006230,+40.0793948,-083.1737874,2.0
70,39049005610,+39.9473894,-082.9781077,174,39049007820,+40.0219457,-083.0264862,2.0
71,39049005620,+39.9399965,-082.9784131,79,39049006230,+40.0793948,-083.1737874,2.0
71,39049005620,+39.9399965,-082.9784131,168,39049007721,+40.0550543,-082.9665635,2.0
76,39049006000,+39.9317195,-082.9775299,79,39049006230,+40.0793948,-083.1737874,2.0
76,39049006000,+39.9317195,-082.9775299,115,39049006931,+40.0817154,-082.9672126,2.0
77,39049006100,+39.9255085,-082.9905758,121,39049006945,+40.0925469,-082.9580378,2.0
80,39049006236,+40.1319019,-083.1384513,193,39049008163,+39.9404250,-083.1362465,2.0
82,39049006321,+40.0375261,-083.0573697,193,39049008163,+39.9404250,-083.1362465,2.0
87,39049006352,+40.0552211,-083.0504838,59,39049004700,+39.9501843,-083.0636491,2.0
87,39049006352,+40.0552211,-083.0504838,265,39049009600,+39.8889368,-083.1000182,2.0
93,39049006386,+40.1021432,-083.0837988,115,39049006931,+40.0817154,-082.9672126,2.0
95,39049006391,+40.1265761,-083.0491177,276,39049010200,+39.8881595,-082.8310039,2.0
101,39049006410,+40.0117459,-083.0823861,192,39049008162,+39.9193520,-083.1964122,2.0
103,39049006500,+40.0045889,-083.0676698,166,39049007551,+40.0258470,-082.9209676,2.0
104,39049006600,+39.9961241,-083.0598240,192,39049008162,+39.9193520,-083.1964122,2.0
105,39049006710,+40.0876281,-083.0127650,38,39049002600,+39.9883334,-082.9252448,2.0
107,39049006722,+40.1018205,-083.0044050,121,39049006945,+40.0925469,-082.9580378,2.0
108,39049006810,+40.0786666,-083.0144828,265,39049009600,+39.8889368,-083.1000182,2.0
108,39049006810,+40.0786666,-083.0144828,276,39049010200,+39.8881595,-082.8310039,2.0
110,39049006822,+40.0732834,-083.0096995,276,39049010200,+39.8881595,-082.8310039,2.0
111,39049006910,+40.0876272,-083.0262338,166,39049007551,+40.0258470,-082.9209676,2.0
117,39049006933,+40.0634418,-082.9653429,200,39049008312,+39.9352608,-083.0949072,2.0
122,39049006950,+40.0776045,-083.0417636,168,39049007721,+40.0550543,-082.9665635,2.0
126,39049007041,+40.1251267,-083.0271966,276,39049010200,+39.8881595,-082.8310039,2.0
128,39049007044,+40.1298195,-083.0048612,115,39049006931,+40.0817154,-082.9672126,2.0
130,39049007048,+40.1254270,-082.9851873,168,39049007721,+40.0550543,-082.9665635,2.0
135,39049007120,+40.0895063,-082.9203645,200,39049008312,+39.9352608,-083.0949072,2.0
136,39049007132,+40.0701570,-082.8813197,121,39049006945,+40.0925469,-082.9580378,2.0
137,39049007193,+40.1184334,-082.9018765,168,39049007721,+40.0550543,-082.9665635,2.0
143,39049007203,+40.1035238,-082.7858075,200,39049008312,+39.9352608,-083.0949072,2.0
146,39049007209,+40.0672159,-082.8541782,121,39049006945,+40.0925469,-082.9580378,2.0
149,39049007394,+40.0367876,-082.8100129,200,39049008312,+39.9352608,-083.0949072,2.0
157,39049007494,+40.0432805,-082.8990668,265,39049009600,+39.8889368,-083.1000182,2.0
158,39049007511,+40.0076485,-082.9586431,79,39049006230,+40.0793948,-083.1737874,2.0
158,39049007511,+40.0076485,-082.9586431,115,39049006931,+40.0817154,-082.9672126,2.0
158,39049007511,+40.0076485,-082.9586431,190,39049008142,+39.9693378,-083.1406324,2.0
158,39049007511,+40.0076485,-082.9586431,276,39049010200,+39.8881595,-082.8310039,2.0
160,39049007520,+40.0176977,-082.9471745,174,39049007820,+40.0219457,-083.0264862,2.0
163,39049007533,+40.0432565,-082.9404231,79,39049006230,+40.0793948,-083.1737874,2.0
172,39049007811,+40.0347566,-083.0435104,193,39049008163,+39.9404250,-083.1362465,2.0
176,39049007921,+40.0441063,-083.1789442,168,39049007721,+40.0550543,-082.9665635,2.0
180,39049007941,+40.0007972,-083.1005867,265,39049009600,+39.8889368,-083.1000182,2.0
185,39049008000,+40.0030031,-083.2274453,276,39049010200,+39.8881595,-082.8310039,2.0
187,39049008120,+39.9469893,-083.1294798,115,39049006931,+40.0817154,-082.9672126,2.0
189,39049008141,+39.9588934,-083.1705113,121,39049006945,+40.0925469,-082.9580378,2.0
190,39049008142,+39.9693378,-083.1406324,200,39049008312,+39.9352608,-083.0949072,2.0
191,39049008161,+39.9003778,-083.1397256,200,39049008312,+39.9352608,-083.0949072,2.0
195,39049008210,+39.9613051,-083.1031846,115,39049006931,+40.0817154,-082.9672126,2.0
199,39049008311,+39.9417347,-083.1024707,265,39049009600,+39.8889368,-083.1000182,2.0
