k,start_id,start_geoid,end_id,end_geoid,density
22,0,39049000110,205,39049008350,3.0
20,1,39049000120,166,39049007551,3.0
1,3,39049000220,247,39049009373,3.0
13,4,39049000310,193,39049008163,2.0
13,4,39049000310,260,39049009450,1.0
19,5,39049000320,116,39049006932,3.0
13,6,39049000330,223,39049009210,2.0
13,6,39049000330,260,39049009450,1.0
19,6,39049000330,276,39049010200,3.0
3,6,39049000330,279,39049010500,3.0
16,7,39049000410,18,39049001000,2.0
5,7,39049000410,91,39049006383,3.0
16,7,39049000410,207,39049008370,1.0
13,9,39049000500,193,39049008163,3.0
12,9,39049000500,194,39049008164,3.0
23,10,39049000600,196,39049008230,3.0
8,11,39049000710,121,39049006945,3.0
19,13,39049000730,150,39049007395,3.0
19,14,39049000810,109,39049006821,3.0
5,14,39049000810,115,39049006931,3.0
12,14,39049000810,188,39049008132,3.0
2,15,39049000820,51,39049003700,2.0
19,15,39049000820,150,39049007395,3.0
2,15,39049000820,160,39049007520,1.0
3,16,39049000910,279,39049010500,3.0
19,17,39049000920,109,39049006821,1.0
19,17,39049000920,150,39049007395,2.0
7,17,39049000920,192,39049008162,3.0
22,18,39049001000,69,39049005500,3.0
7,19,39049001110,269,39049009740,3.0
22,21,39049001122,248,39049009374,3.0
23,22,39049001200,117,39049006933,3.0
23,23,39049001300,117,39049006933,3.0
18,23,39049001300,265,39049009600,3.0
16,25,39049001500,63,39049005000,3.0
26,25,39049001500,190,39049008142,3.0
23,26,39049001600,117,39049006933,3.0
22,28,39049001810,69,39049005500,3.0
8,28,39049001810,240,39049009337,3.0
3,28,39049001810,279,39049010500,3.0
19,29,39049001820,79,39049006230,1.0
19,29,39049001820,99,39049006395,2.0
16,30,39049001901,38,39049002600,3.0
23,31,39049001902,225,39049009230,3.0
3,32,39049002000,278,39049010400,3.0
16,33,39049002100,59,39049004700,3.0
19,33,39049002100,116,39049006932,3.0
1,33,39049002100,247,39049009373,3.0
22,34,39049002200,205,39049008350,3.0
16,36,39049002510,18,39049001000,3.0
19,37,39049002520,79,39049006230,1.0
19,37,39049002520,109,39049006821,2.0
22,37,39049002520,205,39049008350,3.0
5,38,39049002600,88,39049006353,3.0
19,38,39049002600,245,39049009371,3.0
7,39,39049002710,192,39049008162,0.20000000000004559
4,39,39049002710,200,39049008312,3.0
7,39,39049002710,269,39049009740,2.7999999999999545
16,41,39049002740,63,39049005000,3.0
18,42,39049002750,25,39049001500,1.0
19,42,39049002750,99,39049006395,3.0
27,42,39049002750,168,39049007721,3.0
18,42,39049002750,265,39049009600,2.0
8,44,39049002770,134,39049007115,3.0
22,44,39049002770,248,39049009374,3.0
19,45,39049002780,99,39049006395,3.0
20,45,39049002780,166,39049007551,1.0
20,45,39049002780,184,39049007954,2.0
12,45,39049002780,194,39049008164,3.0
23,45,39049002780,196,39049008230,3.0
13,48,39049003000,212,39049008720,3.0
16,49,39049003200,38,39049002600,3.0
20,49,39049003200,184,39049007954,3.0
3,49,39049003200,278,39049010400,1.0
3,49,39049003200,279,39049010500,2.0
5,50,39049003600,88,39049006353,2.0
5,50,39049003600,91,39049006383,1.0
13,52,39049003800,223,39049009210,3.0
6,52,39049003800,247,39049009373,3.0
7,53,39049004000,269,39049009740,3.0
22,55,39049004300,69,39049005500,3.0
19,57,39049004610,150,39049007395,3.0
9,59,39049004700,199,39049008311,3.0
23,60,39049004810,191,39049008161,3.0
2,62,39049004900,51,39049003700,3.0
23,63,39049005000,225,39049009230,3.0
5,64,39049005100,88,39049006353,3.0
3,64,39049005100,146,39049007209,2.0
3,64,39049005100,278,39049010400,1.0
5,65,39049005200,88,39049006353,3.0
24,65,39049005200,192,39049008162,1.7999999999999545
7,66,39049005300,269,39049009740,3.0
2,67,39049005410,51,39049003700,3.0
16,67,39049005410,59,39049004700,3.0
22,67,39049005410,205,39049008350,3.0
12,68,39049005420,188,39049008132,3.0
7,68,39049005420,192,39049008162,3.0
