lambda,f1,f2,predicate,risk_1,risk_2,utility,time,q
1,0,0,VER,0.166738424,0.086016097,1,0.065999985,0
1,0,0,ER,0.156566202,0.080985915,1,0.065999985,0
1,0,0,R,0.094117373,0.041750503,1,0.065999985,0
1,36.95932885,37.03627946,VER,0.162211237,0.081363179,0.99534252,0.166000128,5
1,36.95932885,37.03627946,ER,0.155811666,0.080231388,0.998267646,0.166000128,5
1,36.95932885,37.03627946,R,0.09311132,0.040744467,0.997570489,0.166000128,5
1,73.37996993,74.07255893,VER,0.157557147,0.076710262,0.99068504,0.164000034,10
1,73.37996993,74.07255893,ER,0.154175763,0.078722334,0.995084963,0.164000034,10
1,73.37996993,74.07255893,R,0.091602149,0.039235412,0.995601905,0.164000034,10
1,109.5886961,111.1088384,VER,0.153028337,0.072183099,0.986027561,0.200999975,15
1,109.5886961,111.1088384,ER,0.148641238,0.073189135,0.988723948,0.200999975,15
1,109.5886961,111.1088384,R,0.085061726,0.032696177,0.987178482,0.200999975,15
1,145.6138708,148.1451179,VER,0.148498514,0.067655936,0.981370081,0.164000034,20
1,145.6138708,148.1451179,ER,0.145619863,0.070422535,0.983678325,0.164000034,20
1,145.6138708,148.1451179,R,0.082796875,0.030684105,0.983574901,0.164000034,20
1,181.4695954,185.1813973,VER,0.143968477,0.063128773,0.976712601,0.164999962,25
1,181.4695954,185.1813973,ER,0.142724633,0.068158954,0.97937411,0.164999962,25
1,181.4695954,185.1813973,R,0.082795281,0.030684105,0.983109349,0.164999962,25
1,217.0111225,222.2176768,VER,0.139436361,0.05860161,0.972055121,0.197999954,30
1,217.0111225,222.2176768,ER,0.138317023,0.063631791,0.973302488,0.197999954,30
1,217.0111225,222.2176768,R,0.080524726,0.028169014,0.977235055,0.197999954,30
1,252.3797011,259.2539562,VER,0.135029138,0.054200201,0.967397641,0.161999941,35
1,252.3797011,259.2539562,ER,0.131648301,0.057092555,0.965974913,0.161999941,35
1,252.3797011,259.2539562,R,0.068447859,0.016599598,0.964486106,0.161999941,35
1,287.6573073,296.2902357,VER,0.130621939,0.049798793,0.962740162,0.164999962,40
1,287.6573073,296.2902357,ER,0.125105385,0.051307847,0.958939752,0.164999962,40
1,287.6573073,296.2902357,R,0.059641995,0.00804829,0.954692748,0.164999962,40
1,322.5147636,333.3265152,VER,0.126211794,0.045397384,0.958082682,0.177000046,45
1,322.5147636,333.3265152,ER,0.123461596,0.050050302,0.955898589,0.177000046,45
1,322.5147636,333.3265152,R,0.058627044,0.007042254,0.951802191,0.177000046,45
1,356.9829169,370.3627946,VER,0.121927194,0.04112173,0.953425202,0.164999962,50
1,356.9829169,370.3627946,ER,0.119422753,0.045523139,0.949407094,0.164999962,50
1,356.9829169,370.3627946,R,0.058619371,0.006539235,0.949337639,0.164999962,50
1,391.1702518,407.3990741,VER,0.117514202,0.036720322,0.948767722,0.17599988,55
1,391.1702518,407.3990741,ER,0.117527974,0.044265594,0.9458656,0.17599988,55
1,391.1702518,407.3990741,R,0.057353066,0.006036217,0.946425058,0.17599988,55
1,425.2133024,444.4353536,VER,0.113227167,0.032444668,0.944110242,0.161000013,60
1,425.2133024,444.4353536,ER,0.112354143,0.039738431,0.939141207,0.161000013,60
1,425.2133024,444.4353536,R,0.05406263,0.003018109,0.939491308,0.161000013,60
1,458.889149,481.471633,VER,0.109057985,0.028294769,0.939452762,0.162999868,65
1,458.889149,481.471633,ER,0.10793669,0.035462777,0.933708191,0.162999868,65
1,458.889149,481.471633,R,0.052535073,0.001006036,0.935575951,0.162999868,65
1,492.332909,518.5079125,VER,0.10476444,0.024019115,0.934795283,0.159999847,70
1,492.332909,518.5079125,ER,0.102368264,0.030432596,0.926544131,0.159999847,70
1,492.332909,518.5079125,R,0.052278276,0.001006036,0.935137616,0.159999847,70
1,525.6501926,555.5441919,VER,0.100602803,0.019869215,0.930137803,0.1650002,75
1,525.6501926,555.5441919,ER,0.091656423,0.019869215,0.914793216,0.1650002,75
1,525.6501926,555.5441919,R,0.052274903,0.001509054,0.933918308,0.1650002,75
1,558.6123564,592.5804714,VER,0.096427902,0.015719316,0.925480323,0.157999992,80
