lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape,,,,
1,1,0.05,ER,,0.115387409,0.042002012,0.049733578,0.157,0.265048351,0.081,0.481456641
1,1,0.1,ER,,0.068199631,0,0.105027555,0.157,0.565607443,0.081,1
1,1,0.5,ER,,0.067394789,0,0.107089891,0.157,0.57073383,0.081,1
1,1,1,ER,,0.067394789,0,0.107089891,0.157,0.57073383,0.081,1
1,1,1.5,ER,,0.067394789,0,0.107089891,0.157,0.57073383,0.081,1
1,1,2,ER,,0.067394789,0,0.107089891,0.157,0.57073383,0.081,1
1,2,0.05,ER,,0.117569857,0.044265594,0.048303339,0.157,0.251147406,0.081,0.453511191
1,2,0.1,ER,,0.076884209,0.009557344,0.095633585,0.157,0.510291661,0.081,0.882008098
1,2,0.5,ER,,0.06294813,0,0.117713643,0.157,0.599056496,0.081,1
1,2,1,ER,,0.063897552,0,0.121086855,0.157,0.593009224,0.081,1
1,2,1.5,ER,,0.064255649,0,0.12305853,0.157,0.590728348,0.081,1
1,2,2,ER,,0.065208332,0,0.12783248,0.157,0.584660305,0.081,1
2,1,0.05,ER,,0.140972814,0.080985915,0.046426176,0.157,0.102083985,0.081,0.000173883
2,1,0.1,ER,,0.112736905,0.0638833,0.092915193,0.157,0.281930541,0.081,0.211317286
2,1,0.5,ER,,0.039888832,0,0.17774325,0.157,0.745931008,0.081,1
2,1,1,ER,,0.039920046,0,0.178641585,0.157,0.745732189,0.081,1
2,1,1.5,ER,,0.040224958,0,0.179019836,0.157,0.743790073,0.081,1
2,1,2,ER,,0.040257663,0,0.179155629,0.157,0.743581763,0.081,1
2,2,0.05,ER,,0.142060296,0.080985915,0.044369763,0.157,0.095157351,0.081,0.000173883
2,2,0.1,ER,,0.112044215,0.060110664,0.088666335,0.157,0.286342581,0.081,0.257893037
2,2,0.5,ER,,0.06140766,0.01584507,0.153401713,0.157,0.60886841,0.081,0.804381847
2,2,1,ER,,0.054062063,0.011569416,0.170173076,0.157,0.655655648,0.081,0.857167698
2,2,1.5,ER,,0.043018593,0.002012072,0.192479823,0.157,0.725996226,0.081,0.9751596
2,2,2,ER,,0.037254145,0,0.195813074,0.157,0.762712455,0.081,1
3,1,0.05,ER,,0.14912842,0.080985915,0.043100013,0.157,0.050137452,0.081,0.000173883
3,1,0.1,ER,,0.131922867,0.080985915,0.092275703,0.157,0.159726964,0.081,0.000173883
3,1,0.5,ER,,0.027895813,0,0.228027432,0.157,0.822319661,0.081,1
3,1,1,ER,,0.027907592,0,0.22780857,0.157,0.822244637,0.081,1
3,1,1.5,ER,,0.02827928,0,0.228428791,0.157,0.819877195,0.081,1
3,1,2,ER,,0.028377616,0,0.228536033,0.157,0.819250854,0.081,1
3,2,0.05,ER,,0.149116965,0.080985915,0.03913787,0.157,0.050210416,0.081,0.000173883
3,2,0.1,ER,,0.133815997,0.080985915,0.084613262,0.157,0.147668811,0.081,0.000173883
3,2,0.5,ER,,0.070118703,0.027665996,0.167739187,0.157,0.553384059,0.081,0.658444494
3,2,1,ER,,0.063699271,0.022887324,0.184031179,0.157,0.594272157,0.081,0.717440445
3,2,1.5,ER,,0.051022387,0.012826962,0.205031952,0.157,0.675016644,0.081,0.841642447
3,2,2,ER,,0.047074287,0.010060362,0.215997889,0.157,0.700163779,0.081,0.875797998
1,1,0.05,R,,0.060624744,0.009557344,0.043461571,0.094,0.35505592,0.042,0.772444189
1,1,0.1,R,,0.048238187,0,0.065183099,0.094,0.486827799,0.042,1
1,1,0.5,R,,0.047011074,0,0.067989986,0.094,0.499882186,0.042,1
1,1,1,R,,0.047011074,0,0.067989986,0.094,0.499882186,0.042,1
1,1,1.5,R,,0.047011074,0,0.067989986,0.094,0.499882186,0.042,1
1,1,2,R,,0.047011074,0,0.067989986,0.094,0.499882186,0.042,1
