lambda,coverage,predicate,p_mape,risk_1,risk_2,smape
1,1,VER,0.09516555893328194,0.08017220320965393,0.0,0.08877471579460428
1,1,ER,,0.0685075273497419,0.0,0.10484524204986191
1,1,R,,0.04855500804468261,0.0,0.06411632925745778
1,2,VER,0.5261382953921109,0.07795806439604397,0.0,0.09981815612884941
1,2,ER,,0.06573982662938573,0.0,0.11785463718903744
1,2,R,,0.046390946551178015,0.0,0.06898594814799777
2,1,VER,0.1715121848798801,0.049202294839681235,0.0,0.15296546451358697
2,1,ER,,0.04004271036160544,0.0,0.17688846608769326
2,1,R,,0.03216650945734853,0.0,0.11722954219092765
2,2,VER,1.9973320901244764,0.04789447685975616,0.0,0.17858249302150794
2,2,ER,,0.038728378823654125,0.0,0.20175447457605863
2,2,R,,0.030786949194799306,0.0,0.12078845651209386
3,1,VER,1.4000756340609368,0.03425769985256832,0.0,0.20255657229955976
3,1,ER,,0.02755819305325932,0.0,0.23210152207273682
3,1,R,,0.02466068420310458,0.0,0.15735045926300648
3,2,VER,4.532602087118383,0.03396474229160008,0.0,0.24303810298728745
3,2,ER,,0.027611721213862437,0.0,0.26248514863873534
3,2,R,,0.023945947713702623,0.0,0.15345947961995304
