lambda,coverage,predicate,p_mape,risk_1,risk_2,smape
1,1,VER,1.1872448979591836,0.09681161797181015,0.0,0.13338200327364413
1,1,ER,,0.08245952201434688,0.0,0.15477695809699452
1,1,R,,0.06822769051684711,0.0,0.12973263940585694
1,2,VER,1.1872448979591836,0.09681161797181015,0.0,0.13338200327364413
1,2,ER,,0.08245952201434688,0.0,0.15477695809699452
1,2,R,,0.06822769051684711,0.0,0.12973263940585694
2,1,VER,2.9046471088435375,0.04621721237740454,0.0,0.25635880389451815
2,1,ER,,0.04289787688705931,0.0,0.27663162674880665
2,1,R,,0.0547113286857701,0.0,0.1931324241810396
2,2,VER,2.9046471088435375,0.04621721237740454,0.0,0.25635880389451815
2,2,ER,,0.04289787688705931,0.0,0.27663162674880665
2,2,R,,0.0547113286857701,0.0,0.1931324241810396
3,1,VER,13.317742733457019,0.03189438388703403,0.0,0.3617911088984729
3,1,ER,,0.02811106999499007,0.0,0.3346193942521335
3,1,R,,0.03178067295633276,0.0,0.32997864493153123
3,2,VER,13.317742733457019,0.03189438388703403,0.0,0.3617911088984729
3,2,ER,,0.02811106999499007,0.0,0.3346193942521335
3,2,R,,0.03178067295633276,0.0,0.32997864493153123
