lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape
1,1,0.05,VER,0.04999999999999995,0.11864830225926583,0.037852112676056336,0.04872279886906841
1,1,0.05,ER,,0.11538740887754324,0.042002012072434605,0.049089378471664155
1,1,0.05,R,,0.06062474352795629,0.009557344064386318,0.04276157127431494
1,1,0.1,VER,0.09995163914967817,0.07999870030337723,0.0,0.08870334166329678
1,1,0.1,ER,,0.06819963146559367,0.0,0.1021983972497192
1,1,0.1,R,,0.048238186907979826,0.0,0.061882804553520326
1,1,0.5,VER,0.44915420187207145,0.07948244072976278,0.0,0.08967793775381923
1,1,0.5,ER,,0.06739478864543101,0.0,0.10393552667627705
1,1,0.5,R,,0.04701107449287296,0.0,0.06352635880208668
1,1,1,VER,0.44915420187207145,0.07948244072976278,0.0,0.08967793775381923
1,1,1,ER,,0.06739478864543101,0.0,0.10393552667627705
1,1,1,R,,0.04701107449287296,0.0,0.06352635880208668
1,1,1.5,VER,0.44915420187207145,0.07948244072976278,0.0,0.08967793775381923
1,1,1.5,ER,,0.06739478864543101,0.0,0.10393552667627705
1,1,1.5,R,,0.04701107449287296,0.0,0.06352635880208668
1,1,2,VER,0.44915420187207145,0.07948244072976278,0.0,0.08967793775381923
1,1,2,ER,,0.06739478864543101,0.0,0.10393552667627705
1,1,2,R,,0.04701107449287296,0.0,0.06352635880208668
1,2,0.05,VER,0.049999999999999996,0.12046491841279541,0.03998993963782696,0.04770994780863168
1,2,0.05,ER,,0.11756985732402547,0.04426559356136821,0.04648104172136832
1,2,0.05,R,,0.06842818353507342,0.01710261569416499,0.03380038489600026
1,2,0.1,VER,0.09999999999999999,0.08582137291705326,0.00767102615694165,0.084263451314381
1,2,0.1,ER,,0.07688420922254796,0.009557344064386318,0.0906046754069621
1,2,0.1,R,,0.04980023072188391,0.001006036217303823,0.05697378071806308
1,2,0.5,VER,0.5,0.07547325453837234,0.0,0.10223096961741943
1,2,0.5,ER,,0.06294813014982681,0.0,0.10443311536301363
1,2,0.5,R,,0.04486175629230215,0.0,0.06188235643699569
1,2,1,VER,1.000000000000002,0.07623881507680562,0.0,0.10929261935941424
1,2,1,ER,,0.0638975518480879,0.0,0.10519371706136256
1,2,1,R,,0.044770940364608235,0.0,0.06380193467392585
1,2,1.5,VER,1.4999999999999996,0.07690907903685952,0.0,0.11465069527966468
1,2,1.5,ER,,0.06425564942694019,0.0,0.10606325083675315
1,2,1.5,R,,0.044889613421314686,0.0,0.06365593566199515
1,2,2,VER,1.9999999999999971,0.07786325945252635,0.0,0.11977658136699071
1,2,2,ER,,0.0652083321413344,0.0,0.10767252424397729
1,2,2,R,,0.04485000579111218,0.0,0.06398505313679438
2,1,0.05,VER,0.050000000000000176,0.1436808152798566,0.08601609657947686,0.0473052070052067
2,1,0.05,ER,,0.14097281436731535,0.08098591549295775,0.04515904843013321
2,1,0.05,R,,0.08346250520229198,0.041750503018108655,0.03922862565606617
2,1,0.1,VER,0.10000000000000028,0.10596801016072306,0.05533199195171026,0.09314238869307781
2,1,0.1,ER,,0.11273690513580922,0.06388329979879276,0.090190623450767
2,1,0.1,R,,0.06826105073279097,0.028672032193158954,0.06487434770996983
2,1,0.5,VER,0.499999999999999,0.04880251305188854,0.0,0.15329195996660172
2,1,0.5,ER,,0.03988883178904686,0.0,0.17133478286956003
2,1,0.5,R,,0.031763839178739796,0.0,0.11195375005128798
2,1,1,VER,1.0000000000000016,0.048878768108754585,0.0,0.15361092891860148
2,1,1,ER,,0.03992004637714457,0.0,0.17235981598320504
2,1,1,R,,0.03167075622558487,0.0,0.11253636787416124
2,1,1.5,VER,1.4999999999999987,0.04921604501985538,0.0,0.1537602478823816
2,1,1.5,ER,,0.04022495849930946,0.0,0.17347106189265138
2,1,1.5,R,,0.031746197472432874,0.0,0.11433900414064913
2,1,2,VER,1.5298736379804938,0.04924394556366372,0.0,0.1536972700222009
2,1,2,ER,,0.040257663266957025,0.0,0.17335015743271565
2,1,2,R,,0.03175039006892039,0.0,0.11456144607025885
2,2,0.05,VER,0.050000000000000135,0.14477554749520335,0.08601609657947686,0.04571799812424438
2,2,0.05,ER,,0.14206029586768618,0.08098591549295775,0.04142206855443994
2,2,0.05,R,,0.08620029551550855,0.041750503018108655,0.030168486309932283
2,2,0.1,VER,0.10000000000000003,0.10619512487343935,0.05294265593561368,0.09073681697840194
2,2,0.1,ER,,0.11204421484886463,0.06011066398390342,0.08366706657772031
2,2,0.1,R,,0.07062747265648182,0.029678068410462777,0.05626595645360844
2,2,0.5,VER,0.5000000000000002,0.06437902547597933,0.013329979879275655,0.14032799861731368
2,2,0.5,ER,,0.06140765967254995,0.01584507042253521,0.14292942279006057
2,2,0.5,R,,0.042058859503181965,0.006036217303822937,0.0951583626224856
2,2,1,VER,1.0000000000000018,0.05906045732101782,0.009557344064386318,0.1532212573114282
2,2,1,ER,,0.054062063241004245,0.011569416498993963,0.15340906862884876
2,2,1,R,,0.038209245707418245,0.004024144869215292,0.10205980727097218
2,2,1.5,VER,1.499999999999999,0.05144927344285709,0.002640845070422535,0.16830914038224415
2,2,1.5,ER,,0.043018592500490956,0.002012072434607646,0.17044717006338483
2,2,1.5,R,,0.032917418316112376,0.0005030181086519115,0.11131530865484741
2,2,2,VER,1.9999999999999913,0.04617316003501677,0.0,0.17988763497364035
2,2,2,ER,,0.03725414457304613,0.0,0.17656793929637848
2,2,2,R,,0.029863329002178057,0.0,0.11242703984722488
3,1,0.05,VER,0.05,0.15195187557493922,0.08601609657947686,0.04505703834030919
3,1,0.05,ER,,0.1491284199595623,0.08098591549295775,0.041060610170093215
3,1,0.05,R,,0.09045729999963771,0.041750503018108655,0.030537168896880632
3,1,0.1,VER,0.09999999999999969,0.13029086286245467,0.08601609657947686,0.09006747186260342
3,1,0.1,ER,,0.13192286672152978,0.08098591549295775,0.08852809695428901
3,1,0.1,R,,0.0800473508796118,0.041750503018108655,0.06639351512309843
3,1,0.5,VER,0.500000000000001,0.03428366405518174,0.0,0.19940347283722334
3,1,0.5,ER,,0.027895813287656973,0.0,0.21864395927957103
3,1,0.5,R,,0.02545759713739189,0.0,0.1456466990812864
3,1,1,VER,1.0000000000000004,0.03431568642567382,0.0,0.19981828360275902
3,1,1,ER,,0.027907592010697348,0.0,0.21814877982044012
