lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape
1,1,0.05,VER,0.05,0.118648302,0.037852113,0.048722799
1,1,0.05,ER,0.05,0.115387409,0.042002012,0.049089378
1,1,0.05,R,0.05,0.060624744,0.009557344,0.042761571
1,1,0.1,VER,0.099951639,0.0799987,0,0.088703342
1,1,0.1,ER,0.099951639,0.068199631,0,0.102198397
1,1,0.1,R,0.099951639,0.048238187,0,0.061882805
1,1,0.5,VER,0.449154202,0.079482441,0,0.089677938
1,1,0.5,ER,0.449154202,0.067394789,0,0.103935527
1,1,0.5,R,0.449154202,0.047011074,0,0.063526359
1,1,1,VER,0.449154202,0.079482441,0,0.089677938
1,1,1,ER,0.449154202,0.067394789,0,0.103935527
1,1,1,R,0.449154202,0.047011074,0,0.063526359
1,1,1.5,VER,0.449154202,0.079482441,0,0.089677938
1,1,1.5,ER,0.449154202,0.067394789,0,0.103935527
1,1,1.5,R,0.449154202,0.047011074,0,0.063526359
1,1,2,VER,0.449154202,0.079482441,0,0.089677938
1,1,2,ER,0.449154202,0.067394789,0,0.103935527
1,1,2,R,0.449154202,0.047011074,0,0.063526359
1,2,0.05,VER,0.05,0.120464918,0.03998994,0.047709948
1,2,0.05,ER,0.05,0.117569857,0.044265594,0.046481042
1,2,0.05,R,0.05,0.068428184,0.017102616,0.033800385
1,2,0.1,VER,0.1,0.085821373,0.007671026,0.084263451
1,2,0.1,ER,0.1,0.076884209,0.009557344,0.090604675
1,2,0.1,R,0.1,0.049800231,0.001006036,0.056973781
1,2,0.5,VER,0.5,0.075473255,0,0.10223097
1,2,0.5,ER,0.5,0.06294813,0,0.104433115
1,2,0.5,R,0.5,0.044861756,0,0.061882356
1,2,1,VER,1,0.076238815,0,0.109292619
1,2,1,ER,1,0.063897552,0,0.105193717
1,2,1,R,1,0.04477094,0,0.063801935
1,2,1.5,VER,1.5,0.076909079,0,0.114650695
1,2,1.5,ER,1.5,0.064255649,0,0.106063251
1,2,1.5,R,1.5,0.044889613,0,0.063655936
1,2,2,VER,2,0.077863259,0,0.119776581
1,2,2,ER,2,0.065208332,0,0.107672524
1,2,2,R,2,0.044850006,0,0.063985053
2,1,0.05,VER,0.05,0.143680815,0.086016097,0.047305207
2,1,0.05,ER,0.05,0.140972814,0.080985915,0.045159048
2,1,0.05,R,0.05,0.083462505,0.041750503,0.039228626
2,1,0.1,VER,0.1,0.10596801,0.055331992,0.093142389
2,1,0.1,ER,0.1,0.112736905,0.0638833,0.090190623
2,1,0.1,R,0.1,0.068261051,0.028672032,0.064874348
2,1,0.5,VER,0.5,0.048802513,0,0.15329196
2,1,0.5,ER,0.5,0.039888832,0,0.171334783
2,1,0.5,R,0.5,0.031763839,0,0.11195375
2,1,1,VER,1,0.048878768,0,0.153610929
2,1,1,ER,1,0.039920046,0,0.172359816
2,1,1,R,1,0.031670756,0,0.112536368
2,1,1.5,VER,1.5,0.049216045,0,0.153760248
2,1,1.5,ER,1.5,0.040224958,0,0.173471062
2,1,1.5,R,1.5,0.031746197,0,0.114339004
2,1,2,VER,1.529873638,0.049243946,0,0.15369727
2,1,2,ER,1.529873638,0.040257663,0,0.173350157
2,1,2,R,1.529873638,0.03175039,0,0.114561446
2,2,0.05,VER,0.05,0.144775547,0.086016097,0.045717998
2,2,0.05,ER,0.05,0.142060296,0.080985915,0.041422069
2,2,0.05,R,0.05,0.086200296,0.041750503,0.030168486
2,2,0.1,VER,0.1,0.106195125,0.052942656,0.090736817
2,2,0.1,ER,0.1,0.112044215,0.060110664,0.083667067
2,2,0.1,R,0.1,0.070627473,0.029678068,0.056265956
2,2,0.5,VER,0.5,0.064379025,0.01332998,0.140327999
2,2,0.5,ER,0.5,0.06140766,0.01584507,0.142929423
2,2,0.5,R,0.5,0.04205886,0.006036217,0.095158363
2,2,1,VER,1,0.059060457,0.009557344,0.153221257
2,2,1,ER,1,0.054062063,0.011569416,0.153409069
2,2,1,R,1,0.038209246,0.004024145,0.102059807
2,2,1.5,VER,1.5,0.051449273,0.002640845,0.16830914
2,2,1.5,ER,1.5,0.043018593,0.002012072,0.17044717
