lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape
1,1,0.05,VER,0.05000000000000011,0.11910750710170143,0.03835513078470825,0.048491137774434895
1,1,0.05,ER,,0.1179781421820464,0.04502012072434608,0.047941806833854544
1,1,0.05,R,,0.06283750314657634,0.011066398390342052,0.041577830955683265
1,1,0.1,VER,0.09999999999999987,0.07979572740947853,0.0,0.08941025383456994
1,1,0.1,ER,,0.06778795461952615,0.0,0.10597892494917155
1,1,0.1,R,,0.04802772165031002,0.0,0.0649011139231122
1,1,0.5,VER,0.49999999999999917,0.07894460645215474,0.0,0.09152512041345205
1,1,0.5,ER,,0.0665365360469055,0.0,0.10940381230567237
1,1,0.5,R,,0.04720737172723779,0.0,0.0678812737553572
1,1,1,VER,0.6995767508430009,0.07897759573248121,0.0,0.09213912756603647
1,1,1,ER,,0.06672660044204647,0.0,0.11027284411366055
1,1,1,R,,0.04732491922123174,0.0,0.0686426107913702
1,1,1.5,VER,0.6995767508430009,0.07897759573248121,0.0,0.09213912756603647
1,1,1.5,ER,,0.06672660044204647,0.0,0.11027284411366055
1,1,1.5,R,,0.04732491922123174,0.0,0.0686426107913702
1,1,2,VER,0.6995767508430009,0.07897759573248121,0.0,0.09213912756603647
1,1,2,ER,,0.06672660044204647,0.0,0.11027284411366055
1,1,2,R,,0.04732491922123174,0.0,0.0686426107913702
1,2,0.05,VER,0.05000000000000001,0.1206841102451539,0.04024144869215292,0.04761455286029377
1,2,0.05,ER,,0.11826277967272453,0.04502012072434608,0.04781819459891684
1,2,0.05,R,,0.07093377397198795,0.019617706237424547,0.033014394606931896
1,2,0.1,VER,0.09999999999999996,0.08645946965298244,0.008425553319919517,0.08366336774166441
1,2,0.1,ER,,0.07765260455636917,0.010311871227364185,0.09490532419846677
1,2,0.1,R,,0.05003669759770035,0.001006036217303823,0.06119666254221322
1,2,0.5,VER,0.5000000000000003,0.07853693444171483,0.0005030181086519115,0.09882943254202593
1,2,0.5,ER,,0.06663323436697888,0.0007545271629778672,0.1167234633264196
1,2,0.5,R,,0.046658105735933326,0.0,0.06807545297663957
1,2,1,VER,1.0000000000000016,0.075812768878686,0.0,0.10858478485087991
1,2,1,ER,,0.06368847528399152,0.0,0.12652629473857427
1,2,1,R,,0.044814076546851954,0.0,0.07414786498096802
1,2,1.5,VER,1.499999999999999,0.0765777842630648,0.0,0.11550999772266936
1,2,1.5,ER,,0.06420816969113916,0.0,0.12807145841691248
1,2,1.5,R,,0.04495993128177991,0.0,0.07612492980294201
1,2,2,VER,1.999999999999998,0.07749213946816423,0.0,0.12116488371040998
1,2,2,ER,,0.06495502676708173,0.0,0.13305944826024818
1,2,2,R,,0.04467675102286346,0.0,0.07797034700378212
2,1,0.05,VER,0.05000000000000004,0.14401844769295463,0.08601609657947686,0.04687740266895373
2,1,0.05,ER,,0.1405358896099056,0.08098591549295775,0.04677700384665081
2,1,0.05,R,,0.08338460523418728,0.041750503018108655,0.039393379231174676
2,1,0.1,VER,0.10000000000000026,0.10814500744718247,0.057847082494969816,0.09179216785861964
2,1,0.1,ER,,0.11672427773694045,0.06790744466800805,0.08998312865151964
2,1,0.1,R,,0.07587334776353237,0.03571428571428571,0.060033220730536414
2,1,0.5,VER,0.4999999999999995,0.04799356596513591,0.0,0.15621847705766753
2,1,0.5,ER,,0.03852439315880961,0.0,0.1804967776676546
2,1,0.5,R,,0.03126509325860909,0.0,0.12012876707468846
2,1,1,VER,1.000000000000002,0.04801895221740494,0.0,0.15747206309591502
2,1,1,ER,,0.038602299526767324,0.0,0.18264899144995492
2,1,1,R,,0.03109420859779846,0.0,0.12119769164516109
2,1,1.5,VER,1.5000000000000016,0.04841761080014945,0.0,0.1578623373643106
2,1,1.5,ER,,0.03923716114814873,0.0,0.1830987690651695
2,1,1.5,R,,0.03145398238246164,0.0,0.12198057178830637
2,1,2,VER,1.9999999999999973,0.04850820830815089,0.0,0.1589169633438555
2,1,2,ER,,0.03934934781701965,0.0,0.18586872319200556
2,1,2,R,,0.03134116956446662,0.0,0.12405653200987751
2,2,0.05,VER,0.05000000000000008,0.14488471348740586,0.08601609657947686,0.045552142258879
2,2,0.05,ER,,0.14243164206206196,0.08098591549295775,0.04335973111004354
2,2,0.05,R,,0.08616360440916779,0.041750503018108655,0.03217791842205342
2,2,0.1,VER,0.10000000000000014,0.10598856679399128,0.05218812877263582,0.09047302924926344
2,2,0.1,ER,,0.1105761456464884,0.05835010060362173,0.08917740947737501
2,2,0.1,R,,0.0700114136277327,0.028672032193158954,0.059669072567501424
2,2,0.5,VER,0.5000000000000016,0.06699707457090368,0.0153420523138833,0.13706526693384752
2,2,0.5,ER,,0.06561960203683696,0.01936619718309859,0.14514019145792198
2,2,0.5,R,,0.04485451458508639,0.008048289738430584,0.09590208908209875
2,2,1,VER,0.9999999999999999,0.059920603725149325,0.009305835010060362,0.15183627180143486
2,2,1,ER,,0.05678410018628684,0.013078470824949699,0.16119097758201648
2,2,1,R,,0.04285855868979009,0.007042253521126761,0.1016994780880673
2,2,1.5,VER,1.499999999999999,0.054105768327901246,0.004904426559356137,0.16563159003010497
2,2,1.5,ER,,0.04844355061501233,0.007796780684104628,0.18500000775054531
2,2,1.5,R,,0.03954047300150694,0.006539235412474849,0.10573028958053833
2,2,2,VER,1.9999999999999907,0.0473594195494581,0.0,0.17980173275092928
2,2,2,ER,,0.03826198721743931,0.0,0.1975005510791103
2,2,2,R,,0.030696213569554143,0.0,0.12111514943149859
3,1,0.05,VER,0.05,0.15204502471200543,0.08601609657947686,0.04481190647974431
3,1,0.05,ER,,0.14924798289749117,0.08098591549295775,0.04224572683973666
3,1,0.05,R,,0.09036621535932252,0.041750503018108655,0.03248611498849806
3,1,0.1,VER,0.0999999999999999,0.1312511885548965,0.08601609657947686,0.08881007116715789
3,1,0.1,ER,,0.1344045313239736,0.08098591549295775,0.0870031465081515
3,1,0.1,R,,0.07918584900612426,0.041750503018108655,0.07321072176365308
3,1,0.5,VER,0.5000000000000003,0.04971661396224349,0.014461770623742454,0.18377965409221148
3,1,0.5,ER,,0.04740217571072278,0.015090543259557344,0.20504780630293015
3,1,0.5,R,,0.026142791184486047,0.0,0.15161151738185336
3,1,1,VER,0.9999999999999991,0.04231916701398062,0.007922535211267605,0.19362246360599392
3,1,1,ER,,0.03636654226720452,0.006036217303822937,0.22110645899534773
3,1,1,R,,0.02517755544187108,0.0,0.15489595774662915
3,1,1.5,VER,1.499999999999996,0.03422239469659048,0.0,0.2031796602764811
3,1,1.5,ER,,0.027546472030643525,0.0,0.23271033536576136
3,1,1.5,R,,0.02453196959486719,0.0,0.15495622146042295
3,1,2,VER,1.9999999999999931,0.034155443097616166,0.0,0.2042751598044256
3,1,2,ER,,0.027524975466870088,0.0,0.2318213655681995
3,1,2,R,,0.024803029202114257,0.0,0.15619074254950396
3,2,0.05,VER,0.049999999999999996,0.15030490079901218,0.08601609657947686,0.045365493939642926
3,2,0.05,ER,,0.14918437299068932,0.08098591549295775,0.03836841006750362
3,2,0.05,R,,0.08925213069312746,0.041750503018108655,0.032705011479004426
3,2,0.1,VER,0.09999999999999996,0.13061526854113686,0.08488430583501005,0.08717154530061577
3,2,0.1,ER,,0.1346174943807423,0.08073440643863179,0.08173379277600279
3,2,0.1,R,,0.08240257616211849,0.04124748490945674,0.060656324362765586
3,2,0.5,VER,0.5000000000000019,0.07434247099895033,0.03005533199195171,0.15012669674782614
3,2,0.5,ER,,0.08032698446691958,0.035211267605633804,0.14972857637317774
3,2,0.5,R,,0.051079463851849784,0.015090543259557344,0.10205183780683973
3,2,1,VER,0.9999999999999994,0.07057480729667899,0.027540241448692153,0.16108437454715266
3,2,1,ER,,0.0758388274763277,0.03244466800804829,0.1619682304561289
3,2,1,R,,0.04930429292969019,0.014587525150905433,0.10677402080953971
3,2,1.5,VER,1.4999999999999953,0.06263186785851822,0.02112676056338028,0.17821962431250696
3,2,1.5,ER,,0.06351956111008261,0.02414486921529175,0.19003012528136323
3,2,1.5,R,,0.04370411273071593,0.01056338028169014,0.11904923113724525
3,2,2,VER,1.999999999999997,0.05806040356427607,0.017857142857142856,0.18954217904410664
3,2,2,ER,,0.057524450254947096,0.02012072434607646,0.2050817141112149
3,2,2,R,,0.039502287887516,0.008048289738430584,0.12459323672459115
