lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape
1,1,0.05,VER,0.05000000000000001,0.17151472588986436,0.06785714285714285,0.046029807227050995
1,1,0.05,ER,,0.1688230731735608,0.07142857142857142,0.03283940732089289
1,1,0.05,R,,0.12702010343226638,0.04285714285714286,0.03877046914994475
1,1,0.1,VER,0.1,0.13384068733151278,0.03214285714285714,0.0883070632256825
1,1,0.1,ER,,0.12636946744214944,0.02857142857142857,0.0913885287583603
1,1,0.1,R,,0.0907239277550513,0.014285714285714285,0.09075397983338385
1,1,0.5,VER,0.5000000000000001,0.11109733225752443,0.010714285714285714,0.11224599090888371
1,1,0.5,ER,,0.10031666487148974,0.014285714285714285,0.12019999296800203
1,1,0.5,R,,0.09025933945868553,0.014285714285714285,0.09170857422605623
1,1,1,VER,1.0000000000000002,0.10395447511466727,0.0035714285714285713,0.12947970666017586
1,1,1,ER,,0.09674523630006117,0.007142857142857143,0.14697236487005796
1,1,1,R,,0.0825509987875238,0.0,0.1276782165067474
1,1,1.5,VER,1.5,0.09505425561328396,0.0,0.14202628871046705
1,1,1.5,ER,,0.08048593469536997,0.0,0.1490712318764964
1,1,1.5,R,,0.06602345761853869,0.0,0.12628022200321565
1,1,2,VER,2.0,0.09494109758180606,0.0,0.14500598941689788
1,1,2,ER,,0.08009328879937434,0.0,0.15922116411167678
1,1,2,R,,0.06906906792332985,0.0,0.1307501057932025
1,2,0.05,VER,0.05000000000000001,0.17151472588986436,0.06785714285714285,0.046029807227050995
1,2,0.05,ER,,0.1688230731735608,0.07142857142857142,0.03283940732089289
1,2,0.05,R,,0.12702010343226638,0.04285714285714286,0.03877046914994475
1,2,0.1,VER,0.1,0.13384068733151278,0.03214285714285714,0.0883070632256825
1,2,0.1,ER,,0.12636946744214944,0.02857142857142857,0.0913885287583603
1,2,0.1,R,,0.0907239277550513,0.014285714285714285,0.09075397983338385
1,2,0.5,VER,0.5000000000000001,0.11109733225752443,0.010714285714285714,0.11224599090888371
1,2,0.5,ER,,0.10031666487148974,0.014285714285714285,0.12019999296800203
1,2,0.5,R,,0.09025933945868553,0.014285714285714285,0.09170857422605623
1,2,1,VER,1.0000000000000002,0.10395447511466727,0.0035714285714285713,0.12947970666017586
1,2,1,ER,,0.09674523630006117,0.007142857142857143,0.14697236487005796
1,2,1,R,,0.0825509987875238,0.0,0.1276782165067474
1,2,1.5,VER,1.5,0.09505425561328396,0.0,0.14202628871046705
1,2,1.5,ER,,0.08048593469536997,0.0,0.1490712318764964
1,2,1.5,R,,0.06602345761853869,0.0,0.12628022200321565
1,2,2,VER,2.0,0.09494109758180606,0.0,0.14500598941689788
1,2,2,ER,,0.08009328879937434,0.0,0.15922116411167678
1,2,2,R,,0.06906906792332985,0.0,0.1307501057932025
2,1,0.05,VER,0.05,0.19607690324538873,0.11428571428571428,0.04356332674505151
2,1,0.05,ER,,0.18301961059025082,0.08571428571428572,0.02344607425951894
2,1,0.05,R,,0.14122654554375225,0.05714285714285714,0.022796849952817506
2,1,0.1,VER,0.1,0.1759957650312353,0.11428571428571428,0.08194587114109406
2,1,0.1,ER,,0.1725070590227364,0.08571428571428572,0.06269578335407204
2,1,0.1,R,,0.1402739743568469,0.05714285714285714,0.033500950029281586
2,1,0.5,VER,0.5000000000000001,0.08007633936153152,0.025,0.19350338035785042
2,1,0.5,ER,,0.08820943332781742,0.02857142857142857,0.19325008514112202
2,1,0.5,R,,0.08482164753579613,0.014285714285714285,0.13778282803906752
2,1,1,VER,1.0000000000000004,0.06943149809169026,0.017857142857142856,0.21025559099355504
2,1,1,ER,,0.07515437039355281,0.02142857142857143,0.2216020716951796
2,1,1,R,,0.08419261692756254,0.014285714285714285,0.15370923058289762
2,1,1.5,VER,1.5000000000000004,0.0693620536472458,0.017857142857142856,0.21745896379335555
2,1,1.5,ER,,0.07381008267846677,0.02857142857142857,0.22652515112615604
2,1,1.5,R,,0.07031416851736395,0.014285714285714285,0.17920938043082094
2,1,2,VER,1.999999999999999,0.06221919650438867,0.010714285714285714,0.2310458674303019
2,1,2,ER,,0.06428627315465725,0.014285714285714285,0.25026906926365544
2,1,2,R,,0.07679558575942758,0.014285714285714285,0.17036845430518868
2,2,0.05,VER,0.05,0.19607690324538873,0.11428571428571428,0.04356332674505151
2,2,0.05,ER,,0.18301961059025082,0.08571428571428572,0.02344607425951894
2,2,0.05,R,,0.14122654554375225,0.05714285714285714,0.022796849952817506
2,2,0.1,VER,0.1,0.1759957650312353,0.11428571428571428,0.08194587114109406
2,2,0.1,ER,,0.1725070590227364,0.08571428571428572,0.06269578335407204
2,2,0.1,R,,0.1402739743568469,0.05714285714285714,0.033500950029281586
2,2,0.5,VER,0.5000000000000001,0.08007633936153152,0.025,0.19350338035785042
2,2,0.5,ER,,0.08820943332781742,0.02857142857142857,0.19325008514112202
2,2,0.5,R,,0.08482164753579613,0.014285714285714285,0.13778282803906752
2,2,1,VER,1.0000000000000004,0.06943149809169026,0.017857142857142856,0.21025559099355504
2,2,1,ER,,0.07515437039355281,0.02142857142857143,0.2216020716951796
2,2,1,R,,0.08419261692756254,0.014285714285714285,0.15370923058289762
2,2,1.5,VER,1.5000000000000004,0.0693620536472458,0.017857142857142856,0.21745896379335555
2,2,1.5,ER,,0.07381008267846677,0.02857142857142857,0.22652515112615604
2,2,1.5,R,,0.07031416851736395,0.014285714285714285,0.17920938043082094
2,2,2,VER,1.999999999999999,0.06221919650438867,0.010714285714285714,0.2310458674303019
2,2,2,ER,,0.06428627315465725,0.014285714285714285,0.25026906926365544
2,2,2,R,,0.07679558575942758,0.014285714285714285,0.17036845430518868
3,1,0.05,VER,0.05000000000000001,0.20248178237699563,0.11428571428571428,0.040482936445734086
3,1,0.05,ER,,0.18593527194824436,0.08571428571428572,0.02505776143165223
3,1,0.05,R,,0.14051318114743314,0.05714285714285714,0.03446047996144305
3,1,0.1,VER,0.10000000000000003,0.18507625970760466,0.11428571428571428,0.08026636207326991
3,1,0.1,ER,,0.1771477531637887,0.08571428571428572,0.05746436153209746
3,1,0.1,R,,0.13695109706977965,0.05714285714285714,0.05856368707530612
3,1,0.5,VER,0.5000000000000002,0.1608945785084969,0.10714285714285714,0.12786921981326685
3,1,0.5,ER,,0.16546826512159168,0.08571428571428572,0.09399982428232084
3,1,0.5,R,,0.13629377880733304,0.05714285714285714,0.08318591169705458
