lambda,f1,f2,predicate,risk_1,risk_2,smape,time,epsilon_pct
1,0,0,VER,0.166738424,0.086016097,0,0.195188522,0
1,0,0,ER,0.156566202,0.080985915,0,0.195188522,0
1,0,0,R,0.094117373,0.041750503,0,0.195188522,0
1,36.95932885,37.03627946,VER,0.162211237,0.081363179,0.004647842,0.411390305,5
1,36.95932885,37.03627946,ER,0.155811666,0.080231388,0.00129961,0.411390305,5
1,36.95932885,37.03627946,R,0.09311132,0.040744467,0.001768217,0.411390305,5
1,73.37996993,74.07255893,VER,0.157557147,0.076710262,0.009248921,0.404846191,10
1,73.37996993,74.07255893,ER,0.154175763,0.078722334,0.003894932,0.404846191,10
1,73.37996993,74.07255893,R,0.091602149,0.039235412,0.003530833,0.404846191,10
1,109.5886961,111.1088384,VER,0.153028337,0.072183099,0.013841972,0.424386978,15
1,109.5886961,111.1088384,ER,0.148641238,0.073189135,0.009894924,0.424386978,15
1,109.5886961,111.1088384,R,0.085061726,0.032696177,0.01119066,0.424386978,15
1,145.6138708,148.1451179,VER,0.148498514,0.067655936,0.018427092,0.411375046,20
1,145.6138708,148.1451179,ER,0.145871373,0.070674044,0.014061579,0.411375046,20
1,145.6138708,148.1451179,R,0.082796875,0.030684105,0.014336563,0.411375046,20
1,181.4695954,185.1813973,VER,0.143968477,0.063128773,0.022992424,0.408370972,25
1,181.4695954,185.1813973,ER,0.142724633,0.068158954,0.01811177,0.408370972,25
1,181.4695954,185.1813973,R,0.082795281,0.030684105,0.01460443,0.408370972,25
1,217.0111225,222.2176768,VER,0.139436361,0.05860161,0.027553615,0.408370972,30
1,217.0111225,222.2176768,ER,0.138317023,0.063631791,0.023524845,0.408370972,30
1,217.0111225,222.2176768,R,0.080524726,0.028169014,0.019043696,0.408370972,30
1,252.3797011,259.2539562,VER,0.135029138,0.054200201,0.032060951,0.421382904,35
1,252.3797011,259.2539562,ER,0.131648301,0.057092555,0.030581657,0.421382904,35
1,252.3797011,259.2539562,R,0.068447859,0.016599598,0.031441143,0.421382904,35
1,287.6573073,296.2902357,VER,0.130621939,0.049798793,0.036570112,0.401376724,40
1,287.6573073,296.2902357,ER,0.125608311,0.051810865,0.037071906,0.401376724,40
1,287.6573073,296.2902357,R,0.061150587,0.009557344,0.039691386,0.401376724,40
1,322.5147636,333.3265152,VER,0.126211794,0.045397384,0.041044738,0.407371521,45
1,322.5147636,333.3265152,ER,0.123207762,0.049295775,0.040312855,0.407371521,45
1,322.5147636,333.3265152,R,0.058624806,0.006539235,0.043080986,0.407371521,45
1,356.9829169,370.3627946,VER,0.121927194,0.04112173,0.045488682,0.40937233,50
1,356.9829169,370.3627946,ER,0.118417194,0.044517103,0.046111072,0.40937233,50
1,356.9829169,370.3627946,R,0.058116352,0.006036217,0.044515308,0.40937233,50
1,391.1702518,407.3990741,VER,0.117514202,0.036720322,0.049881046,0.409370422,55
1,391.1702518,407.3990741,ER,0.118534488,0.045774648,0.047684845,0.409370422,55
1,391.1702518,407.3990741,R,0.057604519,0.006539235,0.046451764,0.409370422,55
1,425.2133024,444.4353536,VER,0.11322636,0.032444668,0.054261941,0.40937233,60
1,425.2133024,444.4353536,ER,0.115378487,0.042253521,0.051483918,0.40937233,60
1,425.2133024,444.4353536,R,0.054565557,0.003521127,0.051095891,0.40937233,60
1,458.889149,481.471633,VER,0.109058033,0.028294769,0.058623573,0.402364731,65
1,458.889149,481.471633,ER,0.105924333,0.032947686,0.060694022,0.402364731,65
1,458.889149,481.471633,R,0.051528279,0.001006036,0.05486343,0.402364731,65
1,492.332909,518.5079125,VER,0.10476444,0.024019115,0.062944152,0.40136528,70
1,492.332909,518.5079125,ER,0.102118003,0.030432596,0.066034005,0.40136528,70
1,492.332909,518.5079125,R,0.052029414,0.001006036,0.055211393,0.40136528,70
1,525.6501926,555.5441919,VER,0.100601568,0.019869215,0.067226512,0.403367996,75
1,525.6501926,555.5441919,ER,0.095811256,0.024144869,0.072943072,0.403367996,75
1,525.6501926,555.5441919,R,0.051771794,0.001006036,0.055939138,0.403367996,75
1,558.6123564,592.5804714,VER,0.096427902,0.015719316,0.071506915,0.395359039,80
1,558.6123564,592.5804714,ER,0.090117528,0.018360161,0.079270689,0.395359039,80
1,558.6123564,592.5804714,R,0.051755542,0.001006036,0.057266224,0.395359039,80
1,591.3408104,629.6167509,VER,0.09225539,0.011569416,0.075764899,0.398361206,85
1,591.3408104,629.6167509,ER,0.085693484,0.013832998,0.084689662,0.398361206,85
1,591.3408104,629.6167509,R,0.051746264,0.001006036,0.057715637,0.398361206,85
1,623.7184233,666.6530303,VER,0.088204674,0.007545272,0.079964498,0.397363663,90
1,623.7184233,666.6530303,ER,0.081380928,0.011066398,0.089997302,0.397363663,90
1,623.7184233,666.6530303,R,0.051479752,0.001006036,0.058909356,0.397363663,90
1,654.9709764,703.6893098,VER,0.084268556,0.003646881,0.084060513,0.38735199,95
1,654.9709764,703.6893098,ER,0.07553718,0.006036217,0.096722435,0.38735199,95
1,654.9709764,703.6893098,R,0.051457617,0.001006036,0.059408851,0.38735199,95
1,684,740.7255893,VER,0.080554092,0,0.087928578,0.38735199,100
1,684,740.7255893,ER,0.069045753,0,0.103694446,0.38735199,100
1,684,740.7255893,R,0.048718301,0,0.063278331,0.38735199,100
2,0,0,VER,0.166738424,0.086016097,0,0.299200058,0
2,0,0,ER,0.156566202,0.080985915,0,0.299200058,0
2,0,0,R,0.094117373,0.041750503,0,0.299200058,0
2,65.15871234,65.66860672,VER,0.158563511,0.077716298,0.008215142,0.665615082,5
2,65.15871234,65.66860672,ER,0.154427745,0.078973843,0.003239215,0.665615082,5
2,65.15871234,65.66860672,R,0.09160215,0.039235412,0.003530754,0.665615082,5
2,129.3139694,131.3372134,VER,0.150512002,0.069668008,0.016355761,0.660614014,10
2,129.3139694,131.3372134,ER,0.146502078,0.071177062,0.012741815,0.660614014,10
2,129.3139694,131.3372134,R,0.082294137,0.030181087,0.01451499,0.660614014,10
2,192.8497599,197.0058202,VER,0.142583477,0.061745473,0.024454267,0.638580322,15
2,192.8497599,197.0058202,ER,0.142848051,0.068158954,0.01868607,0.638580322,15
2,192.8497599,197.0058202,R,0.082543124,0.030684105,0.014920514,0.638580322,15
2,255.6446958,262.6744269,VER,0.134651472,0.053822938,0.032474707,0.659599304,20
2,255.6446958,262.6744269,ER,0.132905207,0.058853119,0.029735363,0.659599304,20
2,255.6446958,262.6744269,R,0.070963232,0.01861167,0.029092574,0.659599304,20
2,317.8635142,328.3430336,VER,0.126842364,0.046026157,0.040452041,0.65860939,25
2,317.8635142,328.3430336,ER,0.123965884,0.050050302,0.039508014,0.65860939,25
2,317.8635142,328.3430336,R,0.058878213,0.007042254,0.042637009,0.65860939,25
2,378.8126206,394.0116403,VER,0.119152872,0.038355131,0.048285088,0.649612427,30
2,378.8126206,394.0116403,ER,0.119795256,0.046529175,0.045562526,0.649612427,30
2,378.8126206,394.0116403,R,0.058110727,0.007042254,0.045198084,0.649612427,30
2,439.0787981,459.6802471,VER,0.111458137,0.030684105,0.056065929,0.658597946,35
2,439.0787981,459.6802471,ER,0.11171972,0.038732394,0.055047713,0.658597946,35
2,439.0787981,459.6802471,R,0.053552472,0.003018109,0.05275379,0.658597946,35
2,498.4897561,525.3488538,VER,0.104008453,0.023264588,0.063726273,0.655595779,40
2,498.4897561,525.3488538,ER,0.101738651,0.029678068,0.066719094,0.655595779,40
2,498.4897561,525.3488538,R,0.052029277,0.001006036,0.055344778,0.655595779,40
2,557.2231276,591.0174605,VER,0.096554179,0.01584507,0.071338369,0.666627884,45
2,557.2231276,591.0174605,ER,0.088733067,0.017354125,0.080673192,0.666627884,45
2,557.2231276,591.0174605,R,0.051753063,0.001006036,0.057202829,0.666627884,45
2,615.0539644,656.6860672,VER,0.089218971,0.008551308,0.078854749,0.656597137,50
2,615.0539644,656.6860672,ER,0.081516582,0.011066398,0.089189988,0.656597137,50
2,615.0539644,656.6860672,R,0.051734842,0.001006036,0.05840777,0.656597137,50
2,669.9032677,722.3546739,VER,0.082367193,0.001760563,0.08599224,0.660608292,55
2,669.9032677,722.3546739,ER,0.072098857,0.003018109,0.100195875,0.660608292,55
2,669.9032677,722.3546739,R,0.0514714,0.001006036,0.05928357,0.660608292,55
