white,black,aian,aapi,others,nva,va,nh,h,total,diff
0.970144753,0.012062726,0.000603136,0.010856454,0.006332931,0.1486731,0.8513269,0.982509047,0.017490953,3316,2
0.966047406,0.01409353,0.000960922,0.013773222,0.00512492,0.162075593,0.837924407,0.987828315,0.012171685,3122,-10
0.959847698,0.017999308,0.001730703,0.011076497,0.009345794,0.164070613,0.835929387,0.983385254,0.016614746,2889,-2
0.962438759,0.008709853,0.001088732,0.01497006,0.012792597,0.195155144,0.804844856,0.984757757,0.015242243,3674,12
0.700689202,0.24253364,0.000984575,0.0236298,0.032162783,0.196586807,0.803413193,0.961929767,0.038070233,3047,-13
0.824967825,0.128271128,0.002574003,0.012441012,0.031746032,0.18961819,0.81038181,0.964821965,0.035178035,2331,-7
0.720692718,0.234458259,0.000888099,0.011989343,0.031971581,0.226021314,0.773978686,0.96669627,0.03330373,2252,-15
0.935212453,0.026083298,0.003786285,0.022717711,0.012200252,0.145140934,0.854859066,0.980227177,0.019772823,2377,-11
0.952643529,0.019461563,0.001946156,0.016542329,0.009406422,0.156016867,0.843983133,0.979240999,0.020759001,3083,-2
0.88365651,0.027449005,0.002014606,0.074036767,0.012843113,0.129438429,0.870561571,0.969780912,0.030219088,3971,-12
0.890073831,0.046759639,0.005468964,0.041290675,0.016406891,0.097894449,0.902105551,0.96691277,0.03308723,3657,13
0.664326312,0.294215981,0.002674691,0.007021063,0.031761953,0.235038449,0.764961551,0.967569375,0.032430625,2991,-7
0.255703831,0.718467499,0.0038743,0.003443823,0.018510547,0.275075334,0.724924666,0.978906586,0.021093414,2323,-5
0.058939743,0.918011195,0.003951268,0.003292723,0.015805071,0.299308528,0.700691472,0.977280211,0.022719789,3037,11
0.655241935,0.3125,0.000806452,0.014516129,0.016935484,0.236290323,0.763709677,0.977822581,0.022177419,2480,-15
0.49194344,0.462676751,0.003288392,0.013153568,0.028937849,0.260111805,0.739888195,0.975994739,0.024005261,3041,-12
0.244249395,0.725181598,0.002118644,0.003329298,0.025121065,0.303571429,0.696428571,0.973668281,0.026331719,3304,13
0.215715716,0.746746747,0.003503504,0.003503504,0.030530531,0.290790791,0.709209209,0.962962963,0.037037037,1998,-10
0.916652044,0.033163713,0.003860326,0.035620284,0.010703632,0.036673101,0.963326899,0.972802246,0.027197754,5699,10
0.826050885,0.027654867,0.002212389,0.131913717,0.012168142,0.006637168,0.993362832,0.978152655,0.021847345,3616,-13
0.861367075,0.049099161,0.002475588,0.072754779,0.014303397,0.002475588,0.997524412,0.973181131,0.026818869,7271,14
0.680346265,0.1131773,0.002564925,0.183071497,0.020840013,0.050977878,0.949022122,0.966655979,0.033344021,3119,-7
0.914044351,0.036114044,0.000844773,0.039493136,0.009503696,0.011615628,0.988384372,0.977613516,0.022386484,4735,7
0.878275702,0.062490309,0.001705691,0.04760428,0.009924019,0.018917662,0.981082338,0.963560242,0.036439758,6449,7
0.144570286,0.838774151,0.001998668,0.003331113,0.011325783,0.303797468,0.696202532,0.979347102,0.020652898,1501,-8
0.04954955,0.905905906,0.003003003,0.034034034,0.007507508,0.40990991,0.59009009,0.989489489,0.010510511,1998,8
0.294444444,0.624074074,0.004320988,0.005555556,0.071604938,0.333950617,0.666049383,0.925308642,0.074691358,1620,-12
0.636884307,0.221076747,0.00076365,0.042000764,0.099274532,0.121038564,0.878961436,0.86139748,0.13860252,2619,14
0.733794694,0.067820069,0.000692042,0.188235294,0.009457901,0.007151096,0.992848904,0.967243368,0.032756632,4335,-14
