TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049000110,438,6,0,7,0,4,6,29,0,1,0,0,1,1,2733,31,1,29,0,2,1,17,3,0,0,0,6,0,3217,40,2,36,21,493,2823,3258,58,3316,Net-inflow,2
39049000120,467,4,0,11,0,2,6,13,0,2,0,0,1,0,2518,40,1,31,1,0,3,18,0,0,0,0,4,0,3016,44,3,43,16,506,2616,3084,38,3122,Net-outflow,-10
39049000210,430,11,0,6,0,4,13,10,0,0,0,0,0,0,2299,41,5,26,0,2,4,34,0,0,0,0,4,0,2773,52,5,32,27,474,2415,2841,48,2889,Net-outflow,-2
39049000220,653,3,1,12,0,6,13,20,0,0,0,0,4,5,2847,29,1,43,0,6,4,16,0,2,0,0,8,1,3536,32,4,55,47,717,2957,3618,56,3674,Net-inflow,12
39049000310,313,205,0,17,0,2,25,15,1,0,0,0,18,3,1767,532,2,53,2,5,8,40,1,1,0,0,36,1,2135,739,3,72,98,599,2448,2931,116,3047,Net-outflow,-13
39049000320,300,91,0,1,0,10,13,7,0,1,0,0,19,0,1590,207,1,28,0,3,5,26,1,4,0,0,24,0,1923,299,6,29,74,442,1889,2249,82,2331,Net-outflow,-7
39049000330,297,165,0,3,0,4,14,9,1,0,0,0,13,3,1300,360,2,23,1,3,5,17,2,0,0,0,30,0,1623,528,2,27,72,509,1743,2177,75,2252,Net-outflow,-15
39049000410,289,18,4,11,0,3,4,13,1,1,0,0,1,0,1901,43,3,42,1,5,6,20,0,1,0,0,10,0,2223,62,9,54,29,345,2032,2330,47,2377,Net-outflow,-11
39049000420,439,11,0,8,0,1,11,11,0,0,0,0,0,0,2439,49,5,43,0,8,5,48,0,1,0,0,4,0,2937,60,6,51,29,481,2602,3019,64,3083,Net-outflow,-2
39049000500,445,17,1,11,0,2,11,19,1,0,1,0,3,3,2973,91,7,281,0,8,4,72,0,0,1,0,20,0,3509,109,8,294,51,514,3457,3851,120,3971,Net-outflow,-12
39049000600,281,25,0,4,0,2,9,25,0,5,0,0,7,0,2897,141,12,145,1,9,10,52,5,3,1,0,23,0,3255,171,20,151,60,358,3299,3536,121,3657,Net-inflow,13
39049000710,380,252,0,1,0,7,28,14,3,0,0,0,14,4,1565,625,8,18,2,1,7,28,0,0,0,0,34,0,1987,880,8,21,95,703,2288,2894,97,2991,Net-outflow,-7
39049000720,129,468,0,0,0,0,19,1,12,0,0,0,10,0,449,1189,9,8,0,1,2,15,0,0,0,0,10,1,594,1669,9,8,43,639,1684,2274,49,2323,Net-outflow,-5
39049000730,40,822,1,2,0,6,14,5,11,0,0,0,7,1,123,1935,9,8,0,3,5,11,20,2,0,0,12,0,179,2788,12,10,48,909,2128,2968,69,3037,Net-inflow,11
39049000810,291,248,0,9,0,3,14,15,1,0,0,0,3,2,1297,525,2,27,0,3,6,22,1,0,0,0,11,0,1625,775,2,36,42,586,1894,2425,55,2480,Net-outflow,-15
39049000820,257,455,3,11,0,8,26,8,2,0,0,0,20,1,1215,946,6,27,2,3,9,16,4,1,0,0,21,0,1496,1407,10,40,88,791,2250,2968,73,3041,Net-outflow,-12
39049000910,202,742,1,3,0,9,28,4,7,0,0,0,6,1,569,1626,6,6,2,7,16,32,21,0,0,0,16,0,807,2396,7,11,83,1003,2301,3217,87,3304,Net-inflow,13
39049000920,62,484,0,0,0,1,15,3,5,0,0,0,10,1,344,994,6,6,1,3,8,22,9,1,0,0,23,0,431,1492,7,7,61,581,1417,1924,74,1998,Net-outflow,-10
39049001000,163,24,0,1,0,1,0,15,0,0,0,0,5,0,4950,162,20,199,2,12,10,96,3,2,1,0,33,0,5224,189,22,203,61,209,5490,5544,155,5699,Net-inflow,10
39049001110,15,2,0,1,0,0,2,3,0,0,1,0,0,0,2932,96,8,473,2,6,0,37,2,0,0,0,36,0,2987,100,8,477,44,24,3592,3537,79,3616,Net-outflow,-13
39049001121,5,5,0,2,0,0,0,5,0,0,0,0,1,0,6165,351,16,527,0,5,0,88,1,2,0,0,98,0,6263,357,18,529,104,18,7253,7076,195,7271,Net-inflow,14
39049001122,66,26,0,61,0,0,0,4,1,0,0,0,1,0,2016,323,8,509,0,1,5,36,3,0,1,0,58,0,2122,353,8,571,65,159,2960,3015,104,3119,Net-outflow,-7
39049001200,21,19,0,1,0,0,0,11,2,0,0,0,0,1,4244,146,1,184,1,10,2,52,4,3,0,1,31,1,4328,171,4,187,45,55,4680,4629,106,4735,Net-inflow,7
39049001300,43,57,0,2,0,0,2,15,1,0,0,0,1,1,5459,333,8,297,3,6,4,147,12,3,5,0,50,0,5664,403,11,307,64,122,6327,6214,235,6449,Net-inflow,7
39049001400,54,378,1,0,0,0,8,8,5,0,0,0,2,0,148,869,2,4,1,0,5,7,7,0,0,0,2,0,217,1259,3,5,17,456,1045,1470,31,1501,Net-outflow,-8
