k,coverage,u,predicate,p_mape,risk_1,risk_2,smape
1,1,0.05,VER,0.05,0.118648302,0.037852113,0.048722799
1,1,0.05,ER,0.05,0.112706833,0.042002012,0.060929619
1,1,0.05,R,0.05,0.05781471,0.009557344,0.068755482
1,1,0.1,VER,0.099951639,0.0799987,0,0.088703342
1,1,0.1,ER,0.099951639,0.064211959,0,0.120771062
1,1,0.1,R,0.099951639,0.042798899,0,0.118982485
1,1,0.5,VER,0.449154202,0.079482441,0,0.089677938
1,1,0.5,ER,0.449154202,0.063409295,0,0.123043198
1,1,0.5,R,0.449154202,0.041597998,0,0.121836338
1,1,1,VER,0.449154202,0.079482441,0,0.089677938
1,1,1,ER,0.449154202,0.063409295,0,0.123043198
1,1,1,R,0.449154202,0.041597998,0,0.121836338
1,1,1.5,VER,0.449154202,0.079482441,0,0.089677938
1,1,1.5,ER,0.449154202,0.063409295,0,0.123043198
1,1,1.5,R,0.449154202,0.041597998,0,0.121836338
1,1,2,VER,0.449154202,0.079482441,0,0.089677938
1,1,2,ER,0.449154202,0.063409295,0,0.123043198
1,1,2,R,0.449154202,0.041597998,0,0.121836338
1,2,0.05,VER,0.05,0.120464918,0.03998994,0.047709948
1,2,0.05,ER,0.05,0.114953068,0.044265594,0.060236498
1,2,0.05,R,0.05,0.065564994,0.017102616,0.066435269
1,2,0.1,VER,0.1,0.085821373,0.007671026,0.084263451
1,2,0.1,ER,0.1,0.073159442,0.009557344,0.112700283
1,2,0.1,R,0.1,0.044825754,0.001006036,0.115497515
1,2,0.5,VER,0.5,0.075473255,0,0.10223097
1,2,0.5,ER,0.5,0.059133288,0,0.137108042
1,2,0.5,R,0.5,0.039664957,0,0.134941098
1,2,1,VER,1,0.076238815,0,0.109292619
1,2,1,ER,1,0.060054765,0,0.140741865
1,2,1,R,1,0.039570892,0,0.141200007
1,2,1.5,VER,1.5,0.076909079,0,0.114650695
1,2,1.5,ER,1.5,0.060387849,0,0.143462848
1,2,1.5,R,1.5,0.039775057,0,0.141238509
1,2,2,VER,2,0.077863259,0,0.119776581
1,2,2,ER,2,0.061314053,0,0.148216658
1,2,2,R,2,0.039743227,0,0.146575097
2,1,0.05,VER,0.05,0.143680815,0.086016097,0.047305207
2,1,0.05,ER,0.05,0.140973425,0.080985915,0.053870118
2,1,0.05,R,0.05,0.083375681,0.041750503,0.060695834
2,1,0.1,VER,0.1,0.10596801,0.055331992,0.093142389
2,1,0.1,ER,0.1,0.110609203,0.0638833,0.10964948
2,1,0.1,R,0.1,0.066496886,0.028672032,0.114318224
2,1,0.5,VER,0.5,0.048802513,0,0.15329196
2,1,0.5,ER,0.5,0.035343223,0,0.201500014
2,1,0.5,R,0.5,0.025188401,0,0.202568153
2,1,1,VER,1,0.048878768,0,0.153610929
2,1,1,ER,1,0.035323111,0,0.202601967
2,1,1,R,1,0.025107312,0,0.204444365
2,1,1.5,VER,1.5,0.049216045,0,0.153760248
2,1,1.5,ER,1.5,0.035667689,0,0.202805204
2,1,1.5,R,1.5,0.025174771,0,0.206914449
2,1,2,VER,1.529873638,0.049243946,0,0.15369727
2,1,2,ER,1.529873638,0.035694834,0,0.20301165
2,1,2,R,1.529873638,0.025178509,0,0.20711372
2,2,0.05,VER,0.05,0.144775547,0.086016097,0.045717998
2,2,0.05,ER,0.05,0.142325324,0.080985915,0.051874457
2,2,0.05,R,0.05,0.086111239,0.041750503,0.055641501
2,2,0.1,VER,0.1,0.106195125,0.052942656,0.090736817
2,2,0.1,ER,0.1,0.109617366,0.060110664,0.106643784
2,2,0.1,R,0.1,0.068039446,0.029678068,0.110990514
2,2,0.5,VER,0.5,0.064045143,0.012826962,0.140585487
2,2,0.5,ER,0.5,0.055640274,0.014084507,0.177020518
2,2,0.5,R,0.5,0.034948252,0.004527163,0.179047181
2,2,1,VER,1,0.059060457,0.009557344,0.153221257
2,2,1,ER,1,0.049937793,0.011569416,0.193467088
2,2,1,R,1,0.032245501,0.004024145,0.193752997
2,2,1.5,VER,1.5,0.051449273,0.002640845,0.16830914
2,2,1.5,ER,1.5,0.038652214,0.002012072,0.216495969
2,2,1.5,R,1.5,0.026635878,0.000503018,0.206691791
2,2,2,VER,2,0.04617316,0,0.179887635
2,2,2,ER,2,0.032987003,0,0.221691233
2,2,2,R,2,0.023708499,0,0.215785968
3,1,0.05,VER,0.05,0.151951876,0.086016097,0.045057038
3,1,0.05,ER,0.05,0.151542504,0.080985915,0.046189436
3,1,0.05,R,0.05,0.091373011,0.041750503,0.048804772
3,1,0.1,VER,0.1,0.130290863,0.086016097,0.090067472
3,1,0.1,ER,0.1,0.134739061,0.080985915,0.10083809
3,1,0.1,R,0.1,0.081547969,0.041750503,0.107032927
3,1,0.5,VER,0.5,0.034283664,0,0.199403473
3,1,0.5,ER,0.5,0.023914213,0,0.255024334
3,1,0.5,R,0.5,0.018924465,0,0.257858885
3,1,1,VER,1,0.034315686,0,0.199818284
3,1,1,ER,1,0.02394253,0,0.254830641
3,1,1,R,1,0.018891353,0,0.257800059
3,1,1.5,VER,1.5,0.034541479,0,0.200099612
3,1,1.5,ER,1.5,0.024277862,0,0.255670781
3,1,1.5,R,1.5,0.018897847,0,0.259002984
3,1,2,VER,2,0.034586899,0,0.200257282
3,1,2,ER,2,0.024344622,0,0.255829166
3,1,2,R,2,0.018914822,0,0.258379924
3,2,0.05,VER,0.05,0.150372071,0.086016097,0.045405461
